studID,firstName,lastName,gender,email,contactAdd
1,Mary Grace,Ala,F,marygraceala@bumail.com,Bulacan
2,Beverly Grace,Borbe,F,beverlygraceborbe@bumail.com,Quezon City
3,Joyce Ann,Loterte,F,joyceannloterte@bumail.com,Makati
4,Claude Allen,Belgado,M,claudeallenbelgado@bumail.com,San Juan
5,Reuben,Bien,M,reubenbien@bumail.com,Parañaque
6,Jeff Hubert,Orbeta,M,jeffhubertorbeta@bumail.com,Mandaluyong
7,Barbhea,Acosta,F,barbheaacosta@bumail.com,Antipolo
8,Menchie,Bela,F,menchiebela@bumail.com,Muntinlupa
9,Eugene,Banzagales,M,eugenebanzagales@bumail.com,Muntinlupa
10,Jaali Zhen,Esma,F,jaalizhenesma@bumail.com,Pasig
11,Maria,Josefa,F,josefa@email.com,Tiwi Albay
12,Nikki,Abogadie,F,nikki@gmail.com,Guinobatan Albay
13,Nina,Boral,F,nina@email.com,Tabaco Albay
14,Lambert,Irani,M,lambert@email.com,Tiwi Albay
16,Mina,Mahal,F,minamahalkita@gmail.com,Sa Puso Mo
17,Junel,Bariso,M,junelbariso@gmail.com,Brgy.4 Bacacay, Albay
18,Elivince,Timbas,It,elivince@gmail.com,Manila, Quezon City
19,Robert Carlyle,Bitara,Unknown,robert@fukimon.com,Chamba
20,Jericka ,Esparas,Shemale,jericka@shit.com,Gubat, Sorsogon
